"","ï..No","P_Hse_Age","P_DistMRT","P_CntStores","P_Lat","P_Lon","Y_PriceArea","Predict4"
"2",2,19.5,306.5947,9,24.98034,121.53951,42.2,50.4730193138242
"4",4,13.3,561.9845,5,24.98746,121.54391,54.8,47.5654523645846
"5",5,5,390.5684,5,24.97937,121.54245,43.1,44.766274264268
"8",8,20.3,287.6025,6,24.98042,121.54228,46.7,46.5735466725166
"11",11,34.8,405.2134,1,24.97349,121.53372,41.4,34.7580470128669
"13",13,13,492.2313,5,24.96515,121.53737,39.3,39.2394226506341
"16",16,35.7,579.2083,2,24.9824,121.54619,50.5,41.993129935815
"20",20,1.5,23.38284,7,24.96772,121.54102,47.7,43.9590707694736
"21",21,4.5,2275.877,3,24.96314,121.51151,29.3,29.3289558912939
"22",22,10.5,279.1726,7,24.97528,121.54541,51.6,47.3050804677862
"23",23,14.7,1360.139,1,24.95204,121.54842,24.6,31.8182137384129
"24",24,10.1,279.1726,7,24.97528,121.54541,47.9,47.3050804677862
"25",25,39.6,480.6977,4,24.97353,121.53885,38.8,40.6004100265365
"26",26,29.3,1487.868,2,24.97542,121.51726,27,32.9000253328814
"28",28,10.4,276.449,5,24.95593,121.53913,33.6,36.8755951827563
"31",31,25.9,4519.69,0,24.94826,121.49587,22.1,16.4617389823716
"32",32,29.6,769.4034,7,24.98281,121.53408,25,46.8481312078577
"33",33,37.9,488.5727,1,24.97349,121.53451,34.2,34.9487066511684
"34",34,16.5,323.655,6,24.97841,121.54281,49.3,46.0935332476322
"37",37,14.7,1935.009,2,24.96386,121.51458,22.9,28.7569096373218
"50",50,29.4,4510.359,1,24.94925,121.49542,13.2,18.1832888279387
"53",53,32.1,1438.579,3,24.97419,121.5175,27,34.116661882511
"58",58,3.5,56.47425,7,24.95744,121.53711,53.5,39.90624114362
"59",59,30.3,4510.359,1,24.94925,121.49542,22.6,18.1832888279387
"61",61,11,1931.207,2,24.96365,121.51471,21.3,28.7247695268353
"65",65,17.5,995.7554,0,24.96305,121.54915,25.3,33.7936383949827
"67",67,1,193.5845,6,24.96571,121.54089,50.7,41.7890440522017
"68",68,8.5,104.8101,5,24.96674,121.54067,56.8,40.5167443466236
"69",69,30.4,464.223,6,24.97964,121.53805,36.2,45.3167619822773
"71",71,6.6,90.45606,9,24.97433,121.5431,59,49.5217106660032
"72",72,35.5,640.7391,3,24.97563,121.53715,40.8,39.2945465807444
"73",73,32.5,424.5442,8,24.97587,121.53913,36.3,47.4986304864763
"78",78,20.5,2185.128,3,24.96322,121.51237,25.6,29.5607054144931
"82",82,30.8,377.7956,6,24.96427,121.53964,36.8,41.0518395372203
"84",84,25.3,2707.392,3,24.96056,121.50831,17.7,27.7763429146718
